"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.11416586100339e-11,325,958,49,0.0511482254697286,0.150769230769231,"GO:0043588","GO:BP","skin development",20972,10112,"GO:0048513"
"query_1",TRUE,1.32278109066613e-11,2427,958,187,0.195198329853862,0.07704985578904,"GO:0051128","GO:BP","regulation of cellular component organization",20972,12627,"GO:0016043;GO:0050794"
"query_1",TRUE,1.7454637307059e-11,1091,958,105,0.109603340292276,0.0962419798350137,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",20972,12693,"GO:0032501;GO:0048519;GO:0051239"
"query_1",TRUE,1.77395774941846e-11,1449,958,128,0.133611691022964,0.0883367839889579,"GO:0023057","GO:BP","negative regulation of signaling",20972,6207,"GO:0023051;GO:0023052;GO:0048519"
"query_1",TRUE,1.77395774941846e-11,1449,958,128,0.133611691022964,0.0883367839889579,"GO:0010648","GO:BP","negative regulation of cell communication",20972,4107,"GO:0007154;GO:0010646;GO:0048523"
"query_1",TRUE,1.81295607619084e-11,425,958,57,0.0594989561586639,0.134117647058824,"GO:0048732","GO:BP","gland development",20972,12139,"GO:0048513"
"query_1",TRUE,1.91317724074153e-11,1677,958,142,0.148225469728601,0.0846750149075731,"GO:0042592","GO:BP","homeostatic process",20972,9598,"GO:0008150"
"query_1",TRUE,2.42782608186084e-11,2427,958,186,0.194154488517745,0.0766378244746601,"GO:0009605","GO:BP","response to external stimulus",20972,3376,"GO:0050896"
"query_1",TRUE,3.13890192425301e-11,1194,958,111,0.115866388308977,0.092964824120603,"GO:1901701","GO:BP","cellular response to oxygen-containing compound",20972,20238,"GO:0070887;GO:1901700"
"query_1",TRUE,3.51932444653874e-11,641,958,73,0.0762004175365344,0.113884555382215,"GO:0007169","GO:BP","cell surface receptor protein tyrosine kinase signaling pathway",20972,2599,"GO:0007167"
"query_1",TRUE,3.66026115770903e-11,483,958,61,0.0636743215031315,0.126293995859213,"GO:0045785","GO:BP","positive regulation of cell adhesion",20972,10845,"GO:0007155;GO:0030155;GO:0048522"
"query_1",TRUE,3.70322631688151e-11,5493,958,349,0.364300626304802,0.0635354087019843,"GO:0051179","GO:BP","localization",20972,12665,"GO:0008150"
"query_1",TRUE,5.11445806791497e-11,1569,958,134,0.139874739039666,0.0854047163798598,"GO:0009967","GO:BP","positive regulation of signal transduction",20972,3644,"GO:0007165;GO:0009966;GO:0010647;GO:0023056;GO:0048584"
