"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,7.08938300195901,0.504,0.001,0,"C4BPA"
0,7.08762280955321,0.968,0.018,0,"KRT8"
0,7.08399168857307,0.29,0.001,0,"PRKAA2"
0,7.08097451640885,0.262,0.001,0,"LOXL4"
0,7.074952819155,0.588,0.002,0,"PRSS8"
0,7.05831884123739,0.37,0.001,0,"VSIG2"
0,7.04524947446605,0.275,0,0,"FOXA2"
0,7.04325748363243,0.388,0.002,0,"AKR1C2"
0,7.04315227773795,0.908,0.007,0,"MAL2"
0,7.03615995302266,0.331,0.001,0,"GABRB2"
0,7.03549355359481,0.787,0.005,0,"SLPI"
0,7.01907443435637,0.731,0.003,0,"IRX2"
0,7.01848990407268,0.447,0.001,0,"SHROOM3"
0,7.00238675145879,0.609,0.003,0,"MUC5B"
0,6.98348410476381,0.381,0.001,0,"FOXA1"
0,6.968773837728,0.693,0.003,0,"SNHG18"
0,6.96094336936408,0.635,0.002,0,"NR2F1"
0,6.94560212967704,0.627,0.002,0,"CLDN10"
0,6.91507433834513,0.622,0.003,0,"VSTM2L"
0,6.91324240271053,0.378,0.001,0,"ADGRV1"
0,6.90612673128331,0.728,0.003,0,"TSPAN6"
0,6.90207343734774,0.39,0.001,0,"TMEM92"
0,6.90012802329885,0.457,0.002,0,"LRIG3"
0,6.88500982968464,0.473,0.002,0,"SOX9"
0,6.87447736723453,0.775,0.003,0,"CAPN8"
0,6.83331572784753,0.441,0.001,0,"SPDEF"
0,6.83251143396673,0.912,0.015,0,"KRT7"
0,6.81212949590594,0.749,0.01,0,"GDF15"
0,6.79893396646083,0.7,0.002,0,"CDH1"
0,6.78520645472333,0.274,0.001,0,"IRX1"
0,6.78370813386055,0.613,0.003,0,"ABCC3"
0,6.77620441288459,0.903,0.009,0,"CLDN4"
0,6.76378186707227,0.315,0.001,0,"NME5"
0,6.7593395511642,0.545,0.001,0,"RASEF"
0,6.75417797522402,0.791,0.005,0,"SFN"
0,6.74687925189758,0.29,0.001,0,"SIX1"
0,6.74051873058693,0.334,0.001,0,"CCNO"
0,6.73357314723773,0.447,0.002,0,"ARFGEF3"
0,6.7324338272086,0.365,0.002,0,"DSP"
0,6.72691002910854,0.606,0.002,0,"ANKRD65"
